name,accuracy,precision,recall,f1
decision_trees__bag_of_words__3-gram__finegrained__none__none__sentiment_features__none,0.65,0.601,0.618,0.603
decision_trees__bag_of_words__3-gram__finegrained__none__none__none__none,0.648,0.6,0.616,0.601
decision_trees__bag_of_words__3-gram__none__lemmatize__content_features__sentiment_features__none,0.665,0.613,0.63,0.616
decision_trees__bag_of_words__3-gram__none__lemmatize__content_features__none__none,0.685,0.621,0.631,0.624
decision_trees__bag_of_words__3-gram__none__lemmatize__none__sentiment_features__none,0.67,0.613,0.627,0.616
decision_trees__bag_of_words__3-gram__none__lemmatize__none__none__none,0.7,0.635,0.644,0.639
decision_trees__bag_of_words__3-gram__none__none__content_features__sentiment_features__none,0.694,0.632,0.644,0.636
decision_trees__bag_of_words__3-gram__none__none__content_features__none__none,0.659,0.603,0.617,0.606
decision_trees__bag_of_words__3-gram__none__none__none__sentiment_features__none,0.656,0.606,0.623,0.608
decision_trees__bag_of_words__3-gram__none__none__none__none__none,0.669,0.616,0.634,0.619
decision_trees__tfi_df__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.624,0.552,0.557,0.553
decision_trees__tfi_df__1-gram__standard__lemmatize__content_features__none__none,0.585,0.503,0.503,0.502
decision_trees__tfi_df__1-gram__standard__lemmatize__none__sentiment_features__none,0.597,0.519,0.521,0.519
decision_trees__tfi_df__1-gram__standard__lemmatize__none__none__none,0.588,0.518,0.52,0.517
decision_trees__tfi_df__1-gram__standard__none__content_features__sentiment_features__none,0.586,0.506,0.506,0.505
decision_trees__tfi_df__1-gram__standard__none__content_features__none__none,0.608,0.54,0.544,0.54
decision_trees__tfi_df__1-gram__standard__none__none__sentiment_features__none,0.599,0.526,0.529,0.526
decision_trees__tfi_df__1-gram__standard__none__none__none__none,0.579,0.518,0.52,0.515
decision_trees__tfi_df__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.628,0.549,0.552,0.55
decision_trees__tfi_df__1-gram__finegrained__lemmatize__content_features__none__none,0.57,0.508,0.509,0.505
decision_trees__tfi_df__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.603,0.533,0.536,0.533
decision_trees__tfi_df__1-gram__finegrained__lemmatize__none__none__none,0.551,0.482,0.479,0.478
decision_trees__tfi_df__1-gram__finegrained__none__content_features__sentiment_features__none,0.617,0.545,0.55,0.546
decision_trees__tfi_df__1-gram__finegrained__none__content_features__none__none,0.56,0.502,0.502,0.498
decision_trees__tfi_df__1-gram__finegrained__none__none__sentiment_features__none,0.609,0.536,0.539,0.536
decision_trees__tfi_df__1-gram__finegrained__none__none__none__none,0.553,0.504,0.505,0.498
decision_trees__tfi_df__1-gram__none__lemmatize__content_features__sentiment_features__none,0.628,0.567,0.576,0.568
decision_trees__tfi_df__1-gram__none__lemmatize__content_features__none__none,0.592,0.528,0.532,0.527
decision_trees__tfi_df__1-gram__none__lemmatize__none__sentiment_features__none,0.606,0.54,0.545,0.54
decision_trees__tfi_df__1-gram__none__lemmatize__none__none__none,0.585,0.528,0.532,0.525
decision_trees__tfi_df__1-gram__none__none__content_features__sentiment_features__none,0.62,0.551,0.556,0.552
decision_trees__tfi_df__1-gram__none__none__content_features__none__none,0.61,0.549,0.555,0.548
decision_trees__tfi_df__1-gram__none__none__none__sentiment_features__none,0.612,0.532,0.534,0.532
decision_trees__tfi_df__1-gram__none__none__none__none__none,0.585,0.524,0.527,0.522
decision_trees__tfi_df__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.638,0.568,0.573,0.569
decision_trees__tfi_df__2-gram__standard__lemmatize__content_features__none__none,0.628,0.557,0.562,0.558
decision_trees__tfi_df__2-gram__standard__lemmatize__none__sentiment_features__none,0.621,0.541,0.543,0.541
decision_trees__tfi_df__2-gram__standard__lemmatize__none__none__none,0.62,0.546,0.55,0.547
decision_trees__tfi_df__2-gram__standard__none__content_features__sentiment_features__none,0.655,0.582,0.587,0.584
decision_trees__tfi_df__2-gram__standard__none__content_features__none__none,0.633,0.554,0.556,0.554
decision_trees__tfi_df__2-gram__standard__none__none__sentiment_features__none,0.638,0.55,0.55,0.55
decision_trees__tfi_df__2-gram__standard__none__none__none__none,0.643,0.566,0.569,0.567
decision_trees__tfi_df__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.629,0.557,0.561,0.558
decision_trees__tfi_df__2-gram__finegrained__lemmatize__content_features__none__none,0.622,0.546,0.549,0.547
decision_trees__tfi_df__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.62,0.547,0.551,0.548
decision_trees__tfi_df__2-gram__finegrained__lemmatize__none__none__none,0.643,0.57,0.575,0.572
decision_trees__tfi_df__2-gram__finegrained__none__content_features__sentiment_features__none,0.623,0.562,0.57,0.563
decision_trees__tfi_df__2-gram__finegrained__none__content_features__none__none,0.62,0.561,0.569,0.561
decision_trees__tfi_df__2-gram__finegrained__none__none__sentiment_features__none,0.634,0.572,0.581,0.574
decision_trees__tfi_df__2-gram__finegrained__none__none__none__none,0.638,0.577,0.586,0.578
decision_trees__tfi_df__2-gram__none__lemmatize__content_features__sentiment_features__none,0.634,0.563,0.568,0.564
decision_trees__tfi_df__2-gram__none__lemmatize__content_features__none__none,0.645,0.573,0.578,0.574
decision_trees__tfi_df__2-gram__none__lemmatize__none__sentiment_features__none,0.64,0.573,0.58,0.575
decision_trees__tfi_df__2-gram__none__lemmatize__none__none__none,0.655,0.582,0.587,0.584
decision_trees__tfi_df__2-gram__none__none__content_features__sentiment_features__none,0.648,0.572,0.576,0.573
decision_trees__tfi_df__2-gram__none__none__content_features__none__none,0.626,0.557,0.563,0.558
decision_trees__tfi_df__2-gram__none__none__none__sentiment_features__none,0.648,0.579,0.586,0.581
decision_trees__tfi_df__2-gram__none__none__none__none__none,0.641,0.572,0.578,0.574
decision_trees__tfi_df__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.716,0.651,0.655,0.653
decision_trees__tfi_df__3-gram__standard__lemmatize__content_features__none__none,0.7,0.639,0.65,0.643
decision_trees__tfi_df__3-gram__standard__lemmatize__none__sentiment_features__none,0.694,0.624,0.627,0.625
decision_trees__tfi_df__3-gram__standard__lemmatize__none__none__none,0.709,0.648,0.658,0.652
decision_trees__tfi_df__3-gram__standard__none__content_features__sentiment_features__none,0.708,0.643,0.649,0.646
decision_trees__tfi_df__3-gram__standard__none__content_features__none__none,0.694,0.632,0.642,0.636
decision_trees__tfi_df__3-gram__standard__none__none__sentiment_features__none,0.701,0.635,0.642,0.638
decision_trees__tfi_df__3-gram__standard__none__none__none__none,0.691,0.63,0.642,0.634
decision_trees__tfi_df__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.709,0.639,0.639,0.639
decision_trees__tfi_df__3-gram__finegrained__lemmatize__content_features__none__none,0.679,0.617,0.628,0.62
decision_trees__tfi_df__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.703,0.637,0.642,0.639
decision_trees__tfi_df__3-gram__finegrained__lemmatize__none__none__none,0.681,0.62,0.632,0.624
decision_trees__tfi_df__3-gram__finegrained__none__content_features__sentiment_features__none,0.683,0.619,0.629,0.623
decision_trees__tfi_df__3-gram__finegrained__none__content_features__none__none,0.648,0.585,0.595,0.587
decision_trees__tfi_df__3-gram__finegrained__none__none__sentiment_features__none,0.693,0.63,0.64,0.634
decision_trees__tfi_df__3-gram__finegrained__none__none__none__none,0.644,0.584,0.595,0.586
decision_trees__tfi_df__3-gram__none__lemmatize__content_features__sentiment_features__none,0.686,0.624,0.635,0.628
decision_trees__tfi_df__3-gram__none__lemmatize__content_features__none__none,0.676,0.612,0.622,0.615
decision_trees__tfi_df__3-gram__none__lemmatize__none__sentiment_features__none,0.676,0.616,0.628,0.619
decision_trees__tfi_df__3-gram__none__lemmatize__none__none__none,0.697,0.63,0.638,0.633
decision_trees__tfi_df__3-gram__none__none__content_features__sentiment_features__none,0.679,0.618,0.631,0.622
decision_trees__tfi_df__3-gram__none__none__content_features__none__none,0.676,0.612,0.622,0.615
decision_trees__tfi_df__3-gram__none__none__none__sentiment_features__none,0.67,0.613,0.628,0.617
decision_trees__tfi_df__3-gram__none__none__none__none__none,0.676,0.618,0.632,0.622
decision_trees__both__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.623,0.549,0.552,0.549
decision_trees__both__1-gram__standard__lemmatize__content_features__none__none,0.595,0.527,0.53,0.526
decision_trees__both__1-gram__standard__lemmatize__none__sentiment_features__none,0.601,0.534,0.538,0.534
decision_trees__both__1-gram__standard__lemmatize__none__none__none,0.564,0.49,0.489,0.488
decision_trees__both__1-gram__standard__none__content_features__sentiment_features__none,0.6,0.528,0.531,0.528
decision_trees__both__1-gram__standard__none__content_features__none__none,0.588,0.513,0.514,0.512
decision_trees__both__1-gram__standard__none__none__sentiment_features__none,0.607,0.531,0.533,0.531
decision_trees__both__1-gram__standard__none__none__none__none,0.593,0.525,0.527,0.524
decision_trees__both__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.631,0.562,0.568,0.564
decision_trees__both__1-gram__finegrained__lemmatize__content_features__none__none,0.594,0.518,0.519,0.517
decision_trees__both__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.619,0.542,0.545,0.543
decision_trees__both__1-gram__finegrained__lemmatize__none__none__none,0.59,0.514,0.515,0.513
decision_trees__both__1-gram__finegrained__none__content_features__sentiment_features__none,0.593,0.529,0.533,0.528
decision_trees__both__1-gram__finegrained__none__content_features__none__none,0.566,0.502,0.503,0.499
decision_trees__both__1-gram__finegrained__none__none__sentiment_features__none,0.603,0.534,0.537,0.534
decision_trees__both__1-gram__finegrained__none__none__none__none,0.608,0.546,0.552,0.546
decision_trees__both__1-gram__none__lemmatize__content_features__sentiment_features__none,0.622,0.554,0.559,0.554
decision_trees__both__1-gram__none__lemmatize__content_features__none__none,0.592,0.518,0.52,0.518
decision_trees__both__1-gram__none__lemmatize__none__sentiment_features__none,0.605,0.536,0.539,0.535
decision_trees__both__1-gram__none__lemmatize__none__none__none,0.566,0.491,0.49,0.489
decision_trees__both__1-gram__none__none__content_features__sentiment_features__none,0.609,0.537,0.54,0.537
decision_trees__both__1-gram__none__none__content_features__none__none,0.599,0.545,0.552,0.543
decision_trees__both__1-gram__none__none__none__sentiment_features__none,0.624,0.544,0.547,0.545
decision_trees__both__1-gram__none__none__none__none__none,0.574,0.513,0.515,0.51
decision_trees__both__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.649,0.574,0.578,0.575
decision_trees__both__2-gram__standard__lemmatize__content_features__none__none,0.608,0.543,0.548,0.543
decision_trees__both__2-gram__standard__lemmatize__none__sentiment_features__none,0.631,0.557,0.56,0.558
decision_trees__both__2-gram__standard__lemmatize__none__none__none,0.613,0.539,0.542,0.54
decision_trees__both__2-gram__standard__none__content_features__sentiment_features__none,0.607,0.534,0.537,0.534
decision_trees__both__2-gram__standard__none__content_features__none__none,0.635,0.56,0.564,0.561
decision_trees__both__2-gram__standard__none__none__sentiment_features__none,0.634,0.557,0.561,0.558
decision_trees__both__2-gram__standard__none__none__none__none,0.651,0.57,0.572,0.571
decision_trees__both__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.63,0.554,0.557,0.555
decision_trees__both__2-gram__finegrained__lemmatize__content_features__none__none,0.619,0.546,0.55,0.547
decision_trees__both__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.631,0.558,0.562,0.559
decision_trees__both__2-gram__finegrained__lemmatize__none__none__none,0.614,0.536,0.538,0.536
decision_trees__both__2-gram__finegrained__none__content_features__sentiment_features__none,0.615,0.549,0.554,0.549
decision_trees__both__2-gram__finegrained__none__content_features__none__none,0.615,0.554,0.561,0.554
decision_trees__both__2-gram__finegrained__none__none__sentiment_features__none,0.593,0.531,0.535,0.529
decision_trees__both__2-gram__finegrained__none__none__none__none,0.616,0.55,0.555,0.55
decision_trees__both__2-gram__none__lemmatize__content_features__sentiment_features__none,0.651,0.576,0.579,0.577
decision_trees__both__2-gram__none__lemmatize__content_features__none__none,0.622,0.562,0.571,0.563
decision_trees__both__2-gram__none__lemmatize__none__sentiment_features__none,0.631,0.561,0.567,0.563
decision_trees__both__2-gram__none__lemmatize__none__none__none,0.627,0.558,0.564,0.559
decision_trees__both__2-gram__none__none__content_features__sentiment_features__none,0.641,0.565,0.568,0.566
decision_trees__both__2-gram__none__none__content_features__none__none,0.628,0.562,0.568,0.563
decision_trees__both__2-gram__none__none__none__sentiment_features__none,0.633,0.564,0.57,0.565
decision_trees__both__2-gram__none__none__none__none__none,0.633,0.561,0.566,0.563
decision_trees__both__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.7,0.632,0.637,0.635
decision_trees__both__3-gram__standard__lemmatize__content_features__none__none,0.687,0.627,0.64,0.631
decision_trees__both__3-gram__standard__lemmatize__none__sentiment_features__none,0.678,0.606,0.611,0.608
decision_trees__both__3-gram__standard__lemmatize__none__none__none,0.69,0.621,0.626,0.623
decision_trees__both__3-gram__standard__none__content_features__sentiment_features__none,0.707,0.647,0.659,0.651
decision_trees__both__3-gram__standard__none__content_features__none__none,0.693,0.63,0.64,0.634
decision_trees__both__3-gram__standard__none__none__sentiment_features__none,0.701,0.636,0.645,0.64
decision_trees__both__3-gram__standard__none__none__none__none,0.695,0.629,0.635,0.631
decision_trees__both__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.697,0.625,0.627,0.626
decision_trees__both__3-gram__finegrained__lemmatize__content_features__none__none,0.69,0.626,0.637,0.63
decision_trees__both__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.708,0.64,0.643,0.641
decision_trees__both__3-gram__finegrained__lemmatize__none__none__none,0.687,0.624,0.634,0.627
decision_trees__both__3-gram__finegrained__none__content_features__sentiment_features__none,0.679,0.615,0.625,0.619
decision_trees__both__3-gram__finegrained__none__content_features__none__none,0.656,0.6,0.614,0.603
decision_trees__both__3-gram__finegrained__none__none__sentiment_features__none,0.678,0.614,0.623,0.617
decision_trees__both__3-gram__finegrained__none__none__none__none,0.658,0.605,0.621,0.608
decision_trees__both__3-gram__none__lemmatize__content_features__sentiment_features__none,0.681,0.624,0.639,0.628
decision_trees__both__3-gram__none__lemmatize__content_features__none__none,0.681,0.622,0.636,0.626
decision_trees__both__3-gram__none__lemmatize__none__sentiment_features__none,0.679,0.617,0.628,0.62
decision_trees__both__3-gram__none__lemmatize__none__none__none,0.69,0.625,0.634,0.628
decision_trees__both__3-gram__none__none__content_features__sentiment_features__none,0.656,0.594,0.604,0.596
decision_trees__both__3-gram__none__none__content_features__none__none,0.67,0.614,0.629,0.617
decision_trees__both__3-gram__none__none__none__sentiment_features__none,0.671,0.62,0.639,0.624
decision_trees__both__3-gram__none__none__none__none__none,0.677,0.615,0.626,0.619
random_forests__bag_of_words__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.723,0.639,0.516,0.461
random_forests__bag_of_words__1-gram__standard__lemmatize__content_features__none__none,0.722,0.626,0.514,0.457
random_forests__bag_of_words__1-gram__standard__lemmatize__none__sentiment_features__none,0.723,0.639,0.516,0.461
random_forests__bag_of_words__1-gram__standard__lemmatize__none__none__none,0.719,0.576,0.506,0.441
random_forests__bag_of_words__1-gram__standard__none__content_features__sentiment_features__none,0.719,0.592,0.512,0.459
random_forests__bag_of_words__1-gram__standard__none__content_features__none__none,0.724,0.65,0.518,0.465
random_forests__bag_of_words__1-gram__standard__none__none__sentiment_features__none,0.717,0.583,0.512,0.458
random_forests__bag_of_words__1-gram__standard__none__none__none__none,0.724,0.653,0.516,0.461
random_forests__bag_of_words__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.723,0.637,0.517,0.464
random_forests__bag_of_words__1-gram__finegrained__lemmatize__content_features__none__none,0.719,0.576,0.506,0.441
random_forests__bag_of_words__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.716,0.571,0.51,0.454
random_forests__bag_of_words__1-gram__finegrained__lemmatize__none__none__none,0.715,0.538,0.504,0.44
random_forests__bag_of_words__1-gram__finegrained__none__content_features__sentiment_features__none,0.727,0.659,0.526,0.482
random_forests__bag_of_words__1-gram__finegrained__none__content_features__none__none,0.721,0.614,0.515,0.463
random_forests__bag_of_words__1-gram__finegrained__none__none__sentiment_features__none,0.723,0.635,0.518,0.468
random_forests__bag_of_words__1-gram__finegrained__none__none__none__none,0.724,0.647,0.519,0.468
random_forests__bag_of_words__1-gram__none__lemmatize__content_features__sentiment_features__none,0.72,0.6,0.511,0.452
random_forests__bag_of_words__1-gram__none__lemmatize__content_features__none__none,0.713,0.535,0.505,0.446
random_forests__bag_of_words__1-gram__none__lemmatize__none__sentiment_features__none,0.722,0.628,0.512,0.453
random_forests__bag_of_words__1-gram__none__lemmatize__none__none__none,0.72,0.6,0.511,0.452
random_forests__bag_of_words__1-gram__none__none__content_features__sentiment_features__none,0.72,0.606,0.518,0.472
random_forests__bag_of_words__1-gram__none__none__content_features__none__none,0.716,0.567,0.508,0.451
random_forests__bag_of_words__1-gram__none__none__none__sentiment_features__none,0.724,0.658,0.515,0.458
random_forests__bag_of_words__1-gram__none__none__none__none__none,0.72,0.605,0.517,0.469
random_forests__bag_of_words__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.736,0.748,0.535,0.494
random_forests__bag_of_words__2-gram__standard__lemmatize__content_features__none__none,0.737,0.777,0.534,0.491
random_forests__bag_of_words__2-gram__standard__lemmatize__none__sentiment_features__none,0.738,0.757,0.539,0.501
random_forests__bag_of_words__2-gram__standard__lemmatize__none__none__none,0.75,0.812,0.557,0.532
random_forests__bag_of_words__2-gram__standard__none__content_features__sentiment_features__none,0.741,0.757,0.544,0.512
random_forests__bag_of_words__2-gram__standard__none__content_features__none__none,0.741,0.777,0.542,0.506
random_forests__bag_of_words__2-gram__standard__none__none__sentiment_features__none,0.744,0.768,0.551,0.522
random_forests__bag_of_words__2-gram__standard__none__none__none__none,0.734,0.712,0.534,0.495
random_forests__bag_of_words__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.738,0.748,0.54,0.504
random_forests__bag_of_words__2-gram__finegrained__lemmatize__content_features__none__none,0.737,0.717,0.543,0.512
random_forests__bag_of_words__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.738,0.721,0.545,0.516
random_forests__bag_of_words__2-gram__finegrained__lemmatize__none__none__none,0.738,0.733,0.543,0.51
random_forests__bag_of_words__2-gram__finegrained__none__content_features__sentiment_features__none,0.744,0.777,0.549,0.52
random_forests__bag_of_words__2-gram__finegrained__none__content_features__none__none,0.727,0.656,0.527,0.485
random_forests__bag_of_words__2-gram__finegrained__none__none__sentiment_features__none,0.743,0.75,0.551,0.525
random_forests__bag_of_words__2-gram__finegrained__none__none__none__none,0.742,0.753,0.548,0.518
random_forests__bag_of_words__2-gram__none__lemmatize__content_features__sentiment_features__none,0.747,0.76,0.557,0.535
random_forests__bag_of_words__2-gram__none__lemmatize__content_features__none__none,0.747,0.793,0.552,0.524
random_forests__bag_of_words__2-gram__none__lemmatize__none__sentiment_features__none,0.743,0.75,0.551,0.525
random_forests__bag_of_words__2-gram__none__lemmatize__none__none__none,0.741,0.766,0.543,0.509
random_forests__bag_of_words__2-gram__none__none__content_features__sentiment_features__none,0.737,0.704,0.547,0.521
random_forests__bag_of_words__2-gram__none__none__content_features__none__none,0.738,0.716,0.547,0.519
random_forests__bag_of_words__2-gram__none__none__none__sentiment_features__none,0.749,0.781,0.559,0.537
random_forests__bag_of_words__2-gram__none__none__none__none__none,0.742,0.724,0.554,0.532
random_forests__bag_of_words__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.784,0.854,0.618,0.626
random_forests__bag_of_words__3-gram__standard__lemmatize__content_features__none__none,0.778,0.835,0.61,0.615
random_forests__bag_of_words__3-gram__standard__lemmatize__none__sentiment_features__none,0.784,0.847,0.619,0.628
random_forests__bag_of_words__3-gram__standard__lemmatize__none__none__none,0.776,0.832,0.606,0.609
random_forests__bag_of_words__3-gram__standard__none__content_features__sentiment_features__none,0.767,0.809,0.594,0.592
random_forests__bag_of_words__3-gram__standard__none__content_features__none__none,0.767,0.815,0.592,0.59
random_forests__bag_of_words__3-gram__standard__none__none__sentiment_features__none,0.769,0.8,0.598,0.599
random_forests__bag_of_words__3-gram__standard__none__none__none__none,0.772,0.822,0.601,0.602
random_forests__bag_of_words__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.777,0.84,0.606,0.61
random_forests__bag_of_words__3-gram__finegrained__lemmatize__content_features__none__none,0.784,0.841,0.62,0.63
random_forests__bag_of_words__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.784,0.83,0.623,0.634
random_forests__bag_of_words__3-gram__finegrained__lemmatize__none__none__none,0.78,0.844,0.613,0.619
random_forests__bag_of_words__3-gram__finegrained__none__content_features__sentiment_features__none,0.767,0.784,0.6,0.602
random_forests__bag_of_words__3-gram__finegrained__none__content_features__none__none,0.771,0.798,0.604,0.607
random_forests__bag_of_words__3-gram__finegrained__none__none__sentiment_features__none,0.785,0.837,0.624,0.635
random_forests__bag_of_words__3-gram__finegrained__none__none__none__none,0.787,0.834,0.629,0.643
random_forests__bag_of_words__3-gram__none__lemmatize__content_features__sentiment_features__none,0.791,0.817,0.642,0.659
random_forests__bag_of_words__3-gram__none__lemmatize__content_features__none__none,0.785,0.817,0.629,0.642
random_forests__bag_of_words__3-gram__none__lemmatize__none__sentiment_features__none,0.798,0.845,0.648,0.668
random_forests__bag_of_words__3-gram__none__lemmatize__none__none__none,0.795,0.826,0.649,0.668
random_forests__bag_of_words__3-gram__none__none__content_features__sentiment_features__none,0.79,0.815,0.64,0.657
random_forests__bag_of_words__3-gram__none__none__content_features__none__none,0.795,0.834,0.646,0.665
random_forests__bag_of_words__3-gram__none__none__none__sentiment_features__none,0.779,0.784,0.627,0.64
random_forests__bag_of_words__3-gram__none__none__none__none__none,0.795,0.829,0.647,0.667
random_forests__tfi_df__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.722,0.632,0.51,0.446
random_forests__tfi_df__1-gram__standard__lemmatize__content_features__none__none,0.717,0.568,0.507,0.444
random_forests__tfi_df__1-gram__standard__lemmatize__none__sentiment_features__none,0.726,0.685,0.515,0.455
random_forests__tfi_df__1-gram__standard__lemmatize__none__none__none,0.719,0.584,0.509,0.448
random_forests__tfi_df__1-gram__standard__none__content_features__sentiment_features__none,0.724,0.658,0.515,0.458
random_forests__tfi_df__1-gram__standard__none__content_features__none__none,0.713,0.508,0.501,0.435
random_forests__tfi_df__1-gram__standard__none__none__sentiment_features__none,0.724,0.653,0.516,0.461
random_forests__tfi_df__1-gram__standard__none__none__none__none,0.719,0.588,0.51,0.452
random_forests__tfi_df__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.613,0.511,0.453
random_forests__tfi_df__1-gram__finegrained__lemmatize__content_features__none__none,0.723,0.649,0.512,0.45
random_forests__tfi_df__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.726,0.685,0.515,0.455
random_forests__tfi_df__1-gram__finegrained__lemmatize__none__none__none,0.726,0.697,0.513,0.451
random_forests__tfi_df__1-gram__finegrained__none__content_features__sentiment_features__none,0.724,0.645,0.52,0.471
random_forests__tfi_df__1-gram__finegrained__none__content_features__none__none,0.723,0.641,0.514,0.457
random_forests__tfi_df__1-gram__finegrained__none__none__sentiment_features__none,0.729,0.692,0.525,0.477
random_forests__tfi_df__1-gram__finegrained__none__none__none__none,0.729,0.773,0.517,0.457
random_forests__tfi_df__1-gram__none__lemmatize__content_features__sentiment_features__none,0.717,0.585,0.513,0.461
random_forests__tfi_df__1-gram__none__lemmatize__content_features__none__none,0.716,0.562,0.507,0.447
random_forests__tfi_df__1-gram__none__lemmatize__none__sentiment_features__none,0.722,0.626,0.514,0.457
random_forests__tfi_df__1-gram__none__lemmatize__none__none__none,0.716,0.54,0.503,0.436
random_forests__tfi_df__1-gram__none__none__content_features__sentiment_features__none,0.717,0.577,0.509,0.451
random_forests__tfi_df__1-gram__none__none__content_features__none__none,0.723,0.641,0.514,0.457
random_forests__tfi_df__1-gram__none__none__none__sentiment_features__none,0.726,0.66,0.52,0.469
random_forests__tfi_df__1-gram__none__none__none__none__none,0.727,0.669,0.522,0.473
random_forests__tfi_df__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.742,0.77,0.545,0.512
random_forests__tfi_df__2-gram__standard__lemmatize__content_features__none__none,0.742,0.792,0.543,0.506
random_forests__tfi_df__2-gram__standard__lemmatize__none__sentiment_features__none,0.745,0.802,0.549,0.517
random_forests__tfi_df__2-gram__standard__lemmatize__none__none__none,0.748,0.82,0.552,0.522
random_forests__tfi_df__2-gram__standard__none__content_features__sentiment_features__none,0.738,0.733,0.543,0.51
random_forests__tfi_df__2-gram__standard__none__content_features__none__none,0.745,0.815,0.548,0.515
random_forests__tfi_df__2-gram__standard__none__none__sentiment_features__none,0.735,0.753,0.531,0.487
random_forests__tfi_df__2-gram__standard__none__none__none__none,0.741,0.749,0.546,0.515
random_forests__tfi_df__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.744,0.799,0.547,0.514
random_forests__tfi_df__2-gram__finegrained__lemmatize__content_features__none__none,0.742,0.78,0.544,0.509
random_forests__tfi_df__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.744,0.787,0.548,0.517
random_forests__tfi_df__2-gram__finegrained__lemmatize__none__none__none,0.734,0.727,0.532,0.489
random_forests__tfi_df__2-gram__finegrained__none__content_features__sentiment_features__none,0.736,0.738,0.536,0.497
random_forests__tfi_df__2-gram__finegrained__none__content_features__none__none,0.741,0.757,0.544,0.512
random_forests__tfi_df__2-gram__finegrained__none__none__sentiment_features__none,0.741,0.777,0.542,0.506
random_forests__tfi_df__2-gram__finegrained__none__none__none__none,0.741,0.749,0.546,0.515
random_forests__tfi_df__2-gram__none__lemmatize__content_features__sentiment_features__none,0.743,0.774,0.547,0.516
random_forests__tfi_df__2-gram__none__lemmatize__content_features__none__none,0.743,0.796,0.545,0.51
random_forests__tfi_df__2-gram__none__lemmatize__none__sentiment_features__none,0.737,0.764,0.536,0.494
random_forests__tfi_df__2-gram__none__lemmatize__none__none__none,0.747,0.804,0.551,0.521
random_forests__tfi_df__2-gram__none__none__content_features__sentiment_features__none,0.744,0.799,0.547,0.514
random_forests__tfi_df__2-gram__none__none__content_features__none__none,0.74,0.731,0.546,0.517
random_forests__tfi_df__2-gram__none__none__none__sentiment_features__none,0.744,0.799,0.547,0.514
random_forests__tfi_df__2-gram__none__none__none__none__none,0.745,0.79,0.55,0.52
random_forests__tfi_df__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.771,0.85,0.593,0.59
random_forests__tfi_df__3-gram__standard__lemmatize__content_features__none__none,0.78,0.844,0.613,0.619
random_forests__tfi_df__3-gram__standard__lemmatize__none__sentiment_features__none,0.778,0.829,0.611,0.617
random_forests__tfi_df__3-gram__standard__lemmatize__none__none__none,0.776,0.826,0.607,0.611
random_forests__tfi_df__3-gram__standard__none__content_features__sentiment_features__none,0.777,0.834,0.608,0.612
random_forests__tfi_df__3-gram__standard__none__content_features__none__none,0.766,0.796,0.594,0.593
random_forests__tfi_df__3-gram__standard__none__none__sentiment_features__none,0.767,0.809,0.594,0.592
random_forests__tfi_df__3-gram__standard__none__none__none__none,0.772,0.828,0.599,0.6
random_forests__tfi_df__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.771,0.82,0.599,0.599
random_forests__tfi_df__3-gram__finegrained__lemmatize__content_features__none__none,0.769,0.817,0.594,0.593
random_forests__tfi_df__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.781,0.828,0.619,0.628
random_forests__tfi_df__3-gram__finegrained__lemmatize__none__none__none,0.784,0.854,0.618,0.626
random_forests__tfi_df__3-gram__finegrained__none__content_features__sentiment_features__none,0.777,0.84,0.606,0.61
